ORGANISM,frequency
bee populations worldwide[1],1
coronavirus ABSTRACTThe 3â²-to-5â² exoribonuclease,1
Children AbstractIntroductionBacterial,1
bats AbstractAdenoviruses,1
bat-borne polyomaviruses,1
PyVs,1
DENV 3 genotype III,1
Alphavirus nsP3 ADP-ribosylhydrolase,1
chikungunya virus nsP3 macrodomain,1
BALB/c mice AbstractNeuropsychiatric,1
BALB/c female mice,1
virus-antigen,1
Theilerâs Virus,1
ABSTRACTTheilerâs murine encephalomyelitis virus,1
C57BL/6 H-2Db,1
IBV lineages,3
Nidovirales nsp16-like MTases,1
AbstractRespiratory syncytial virus,1
influenza viruses ABSTRACTSialic acids,1
human mucosal,1
NSP5 trans-complementing,1
human astrovirus 1,1
astrovirus replicon,1
honey bee colony,1
mrjp1,1
Human Metapneumovirus genome,1
virus â,1
murine STAT2,1
simplex,3
bee gut,1
gnotobiotic bee,1
mouse COPD,1
mouse brain ABSTRACTMicroglia,1
melon virus,2
Ebola virus VP35 Ser129,1
human pathogens Herpes Simplex Virus 1,1
bovine transferrin,3
H. somni TbpB,2
cattle transferrin-specific,1
IBV HA,5
B/Victoria,2
B/Yamagata lineage,2
IBV HA0,1
human-adapted IAVs,1
B/Victoria HA,1
human upper airways,2
IBV circulates,1
ratsâ blood,1
human MERS-CoV receptor,1
East respiratory coronavirus,2
metapneumoviruses AbstractViruses,1
A/Aichi/68 (H3N2) HA,2
A/Shanghai/2/2013 (H7N9) HA,2
A/X31 H3N2,2
Trypanosomes AbstractBase,1
RIX mice,1
MERS-like virus,1
human gut cells,1
MERS-CoV receptor,1
human-transmissible species,1
non-human viruses,5
Mormopterus francoismoutoui,1
human natural killer cells,1
EIAV S2,1
Pseudotyping retroviruses,1
Orthomyxovirus genera,1
influenza virus glycoproteins,1
retrovirus K (,1
non-retroviruses,1
virophage,1
Murine Coronavirus AbstractCoronaviruses,1
coronavirus papain-like protease 2,1
blood-meal,1
mice AbstractSevere,1
Antigen-specific T cell,1
peribunyaviruses,1
IAV host species,1
human 2â-5â-oligoadenylate synthetase (OAS) proteins,1
among-lineage,1
HBoV2 in 2 (,1
Adenovirus (37.5%,1
Astrovirus (12.5%).CONCLUSIONHBoV,1
Adenovirus (3/8;,1
ZODIAC,1
Immune Signature,1
Nile Kunjin viruses,1
S. stercoralis,3
coronavirus PED virus,1
pig intestinal epithelial cell,1
SARS-CoV pp1a/ab nsp7-10,1
coronavirus nsp7-10,1
Russia AbstractIn,1
flavi-like viruses,3
ALSV,6
Ixodes persulcatus ticks,2
Ixodes ricinus tick cell line IRE/CTVM19,1
ALSV strain Miass527,1
C57BL/6J substrain,1
C57BL/6NJ mice,1
female C57BL/6NJ mice,1
felines AbstractUrodynamic,1
coronavirus The 2019 novel,1
Coronaviridae Study Group,1
coronavirus 2019nCoV,2
Coronavirus (2019-nCoV): A,1
East respiratory syndrome-Coronavirus,1
coronavirus disease 2019 (covid-2019).Design,1
Coronavirus (SARS-CoV-2).Infection,1
people queueup,1
Coronavirus Infections-More,1
House,1
Coronavirus vaccine,1
bat SARSâlike coronavirus,1
coronavirus (2019&#8208;nCoV,1
coronavirus (2019ânCoV,1
coronavirus (nCoV-2019),3
coronavirus disease 2019 Abstract A,1
MERS CoronavirusâA,1
coronaviruses isolates,1
human SARS-CoV-2 virus,2
Wuhan SARS-CoV-2 â,1
coronavirus disease 2019 Coronavirus disease 2019 (COVID-19,1
coronavirus patients,4
MERS-CoV (-8.26 kcal/mol,1
coronavirus 2019 infections2-4,1
coronavirus (SARSâCoVâ2,1
pharyngeal swab COVID-19 nucleic acid,1
coronavirus (COVID-19):,3
coronavirus (COVID-19)-infected,1
Wu Zhong,1
coronavirus denoted,1
coronavirus (SARSr-CoV-RaTG13,1
coronavirus (TARS-CoV)â,1
human 2019-nCoV,1
patientsâ lungs,1
circulating virus â,2
coronavirus disease (COVID-19)-related,1
CoronaVirus (2019-nCov,1
coronavirus â,3
6-month-old infant,2
coronavirus (SARS&#8208;CoV,1
Coronavirus Disease (COVID-19)1,1
coronavirus outbreaks.8,1
Alison Kitson,1
coronavirus - severe acute respiratory,1
coronavirus Covid-19,2
New SARS-like virus,1
stud lines,1
businesswoman,1
Charles Lwanga-Kikwaya,1
coronavirus',1
coronavirus disease 2019 (covid-19,1
Sandeman,1
US people,1
coronavirus crisisâand,1
bellum,1
PostâMiddle East,1
coronavirus (COVIDâ19),1
coronavirus disease 2019 (COVID-19) A,1
XX c.,1
coronavirus 2019-ncov,1
artÃ­culos publicados,1
SARS-coronavirus PLpro,2
human receptor proteins,1
Coronavirus Protease,1
SARS-like coronavirus strain RaTG13,1
coronavirus called 2019,1
coronavirus outbreaks.10,1
Coronavirus 2019 (,1
arthritis-prone rat,1
murine pathogens,4
MHV1,1
mouse liverâderived,1
rat hepatocytes,2
rotavirus VP7,6
Simian 11 rotavirus VP7,1
hemagglutinin cytoplasmic,1
murine pituitary tumor cells,1
coronavirus E1 glycoprotein,2
hemagglutinin-neuraminidase (HN) glycoprotein,1
mouse salivary alpha-amylase,1
rat pituitary,1
chimpanzee alpha-globin (,1
K. M. Wan,1
S. Penman,1
mice C57 BL/6N mice,1
murine class II major histocompatibility complex antigen,1
Aplysia,1
C57B1/6N mice,1
human tetanus toxoid-specific T clone,1
hepatitis B envelope antigen,1
BALB/cJ mice,11
chick LBR,1
S. F. Nothwehr,1
T. H. Stevens,1
chicken LBR,1
Jantti,1
Swift,2
human chorionic gonadotropin,2
Mouse hepatitis coronavirus,1
MHV) buds,1
MHV budding compartment,2
membrane-spanning,1
S. H.,2
hydrolases,3
Mnn1p,1
VSV-G cytoplasmic tail,1
post-ER compartment(s,1
mouse spermatids,1
rat pancreas,1
buds/vesicles,1
wild-type Och1p,1
COPII-coated vesicular,1
ER buds,1
ER cisterna,1
Saccharomyces cerevisiae secretory,1
"human Î±2,3 SAT (O)",1
IBV M.,1
HA2 54â81,1
Vaccinia Virus Proteins,1
vv,1
Moloney murine leukemia virus gag,2
M-MuLV,2
M-MuLV Gag,2
crude cell homogenates,1
MHV (Pr),3
Swiss weanling mice,2
Eperythrozoon coccoides,1
MHV (C),2
MICE Pleuropneumoma-like,1
Swiss mouse,1
C(3)H mice,8
back-cross macrophages,1
mouse peritoneal exudate,1
back-cross,2
back-cross mice,2
MHV (PRI),1
clathrin-coated buds,2
rat endocrine pancreatic Î² cells,1
S. Davanger,1
Human leukocytes,2
MHV (PRI,1
Mouse hepatitis virus type 4,2
JHM strains,5
murine neuron,1
JHM strain) type 4,1
mouse neuronal cells,1
murine peripheral blood mononuclear cells,1
C3H/St mice,1
BALB/c PBM,1
Syngeneic,1
syngeneic graft-versus-host disease,1
syngeneic bone marrow,3
syngeneic graft-versus-host,1
NZW rabbits,2
human anti-Golgi serum,1
human restin,1
G1-like,1
murine astrocytes,6
MHV-4 (JHMV,1
MHV-NuU,2
Human Mig,1
human Mig,2
human tumor-infiltrating T lymphocytes,1
human peripheral blood-derived lymphocytes,1
Epstein-Barr virus-transformed B lymphoblastoid cell lines,1
human peripheral-blood monocytes,1
plt,2
plt mice,5
transgenic T cells,1
MBP-specific T cells,1
MCMV-resistant C57BL/6 mice,1
VV,2
Human Cytochrome P450,1
Virus-specific CD8(+,1
human CYP2A6,1
Murine CD4 T Cells,1
Influenza C virus hemagglutinin-esterase,1
B10.A mouse lymphoid organs,1
LCMV strain Armstrong,1
vaccinia virus T7-driven,1
coronaviruses bud,2
MHV envelope glycoproteins,1
"Saccharomyces cerevisiae Kre2p/Mnt1p alpha 1,2-mannosyltransferase",1
"yeast Kre2p/Mnt1p alpha 1,2-mannosyltransferase",1
rubella virus E2,1
RV envelope E2,1
human extracellular,1
human tear fluid,1
rat kangaroo kidney cells,1
SV-40,2
murine alpha-mannosidase II,1
rat liver endoplasmic reticulum alpha-mannosidase,1
human alpha- mannosidase II cDNA clones,1
human chromosome 5,1
human centromere,1
N. E.,2
M. Adesnik,1
rubella virus E1 glycoprotein,2
RV E1,1
S. Fuller,1
G. Blobel,1
Greber,1
coronavirus E1,2
S. Taketani,1
Y. Tashiro. 1991,1
E. coli beta-galactosidase,1
Oryx leucoryx,2
dammah,1
Oryx gazella,1
Norwalk-like calicivirus,1
Chinese licorice,1
HBoV deoxyribonucleic acid,1
reassortant influenza viruses,2
reassortant swine viruses,1
reassortant H2N3 influenza viruses isolated from,1
H2N2 human,1
H2N3 swine viruses,1
human peripheral blood T-lymphocytes,1
human epidermal growth factor receptor-2,1
Tongcheng piglets,2
patients olfactory,1
human PrP,1
saline-control eyes,1
H. truncata,3
Human Metapneumovirus Co-Infection,1
Ebola Zaire species,1
HIV-based pseudotyping,1
human influenza HA pseudotyped retroviruses,1
equine influenza pseudotyped lentivirus,1
PVNA,2
human Transmembrane Protease Serine 2,3
human embryonic kidney HEK293T/17 cells,1
SARS-CoV IgG Antibodies,1
patient serum specimens,1
mouse corneas,2
murine corneas,1
Rhesus monkeys,2
Pipistrellus ceylonicus bat species,1
Chandipura (CHPV,1
human malignant tumors,1
human LDHA,1
Acacia Arabica,1
Achillea,3
coronavirus CPE,1
Paratyphi,1
influenza A/Panama/2007/1999 (H3N2) virus,1
human influenza virus A strains,1
A/Panama/2007/1999 influenza virus,1
A/Texas/36/1991 (H1N1) virus,1
immunodeficiency viruses,2
human metapneumo virus,1
hCoV NL63,1
Human pluripotent stem cells,1
Influenza virus B,1
Syncytial Virus Antigen,1
Coronavirus â,3
Yersinia sp.,1
human lung cancer,1
mouse xenograft,1
human CTL epitope-induced anti-tumor,1
human lung cancer xenograft,1
human lung cancer cell lines,1
human tumor xenograft SCID mice,1
HBoV virus DNA,1
chickens embryo,1
Escherichia coli OBJECTIVE(S): Enterotoxigenic Escherichia coli,1
E. coli BL21 CodonPlus,1
Sub-saharan,1
Euphorbia erythradenia Bioss,1
793/B IBV strains,2
human coroanvirus,1
XY chromosomes,1
XX chromosomes,1
virus-related GenBank,1
Non-Saudi,1
human brain specimens,1
Gypsy 2.0,1
HERVs,1
Alnus japonica Stem Bark A,1
Alnus japonica Steud,1
Betulaceae) stem bark,1
A. japonica,1
rat paw edema,1
Madagascar with 23 sites,1
Sabin 2s,2
VDPV,1
human adenoviruses type 5,1
TGE Virus,1
BVDV-2,13
hog cholera virus,1
Murine Leukemia Virus,1
Akv murine leukemia virus,1
Human Coronavirus 229E Gene 1-Encoded,1
human coronavirus 229E-encoded papain-like cysteine proteinase,1
coronavirus pp1a,1
wild-type subunits,1
human type II pneumonocytes,1
Human type II alveolar pneumonocytes,1
Rice rats,1
conspecifics,1
rice rats,2
TGEV-specific antiserum,1
TGEV surface,1
anti-E. coli,1
Anti-E. coli antibody in,1
anti-E. coli antibodies,1
C.-L. Liao,2
M. M. C. Lai,8
EAV replicase subunits,1
mouse tracheal epithelial cells,1
vaccinia virus membrane,3
Autophagosomes Macrophages,1
crude C. albicans homogenates,1
C. albicans cells,1
influenza B virus-infected cells,1
chickens Infectious bronchitis (IB,1
ASF virus,7
human/bovine APN chimera,1
Bovine Fetal Inoculations,1
bovine fetuses,4
Escherichia coli F18 Tumor necrosis factor alpha (TNF-Î±,1
ETEC F18-susceptible piglets,2
ETEC F18-resistant piglets,1
TT pigs,1
ETEC F18,2
Nef-,1
HIV Nef,1
ConB,2
human monocyte U937 cells,1
swine testicle cell line,1
virus-specific CTL clones,1
CTL clone,1
coronavirus peplomer glycoprotein,1
coronavirus spike glycoprotein E2,1
coronavirus infection-penetration,1
human 293 EBNA cells,1
MHV JHM (strain 4,1
MHV JHM,4
JHMX strain,1
JHMX,3
JHMX S,1
vaccinia virus-expressed S proteins,1
A/Port Chalmers/1/73 (serotype H3,1
Wistar Furth,3
Wistar Lewis,1
Wistar Furth rats,9
Wistar Lewis rats,3
beige mice,1
PBSX,2
Murine Coronavirus Mouse Hepatitis Virus Strain A59,2
murine biliary glycoprotein (,1
murine glycoproteins,1
Crl,6
huskies,1
Semliki Forest virus spike is,1
SFV genome,1
B-lymphotropic papovavirus,6
human B-lymphoma cell lines,2
human B-lymphoma cell line BJA-B K88,1
equine macrophage-fibroblast cell cultures,1
mouse macrophage cell cultures,2
Swine infectious agents,1
pig organs,1
virus-encoded VPg,1
poliovirus CRE,1
cardioviruses (P. E.,1
T. Michiels,1
Porcine Torovirus A porcine torovirus,1
BoTV,6
virus-specific antibody-secreting cells,2
Coronavirus 229E Antibody,1
229E antigens,1
human embryonic lung,3
229E-infected cell cultures,1
IHA,5
Hyperimmune sera,3
rat sialodacryoadenitis virus,2
modified-live,3
beef calves Bovine respiratory syncytial virus,1
Angus-cross,1
Coronavirus Pseudoparticles,1
TGEV virions,3
BCV ectodomains,1
BCV pseudoparticles,1
coronaviral envelope,2
bovine coronavirus 32,1
coronavirus MHV4,1
BN rats,2
PCR-products,1
porcine enteric coronavirus isolates,1
C. spiroforme,4
core-,1
pig small-intestinal aminopeptidase N (EC 3.4.11.2,1
Specific-pathogen-free,1
Mycoplasma pulmonis X1048,1
PRCV peplomer,1
Enteropathogenic Escherichia coli,1
human rectal tumor cell line HRT18,1
TGEV nucleoprotein (N),1
patients fÃ©briles,1
Uukuniemi virus budding compartments,1
budding virus,2
electropherotypes,3
equine rotaviruses,2
hyperimmune antiserum,2
H-2 strain,2
H-1 strain,3
H-1,2
rat Golgi integral membrane,1
laboratory-housed,1
serow (Capricornis crispus,1
Cervus nippon centralis,1
serows,2
human immunodeficiency virus type 1 transmembrane,2
T. Oas,1
C. McDanal,2
T. Matthews,2
T. Greenwell,1
T. Baird,1
T. G. Oas,1
E. Hunter,1
gp4l,3
Human rotavirus enteritis,1
litter-mates,1
coronavirus enteritis,1
Escherichia coli Cultures,1
nose-throat swab,1
anemogenic,3
Feline leukemia viruses,1
FeLVs,2
env SU,1
murine coronavirus spike protein [,1
BALB/c BBM,2
MHV (7),1
MHV-susceptible murine cell lines,1
murine cell lines,7
anti-MHVR,1
MHV-susceptible mouse,4
murine CEA-related glycoprotein,1
avian infectious bronchitis virus M protein,1
transgenic tobacco cells,1
CrFK Feline Kidney Cells,1
Murine Leukemia Virus-Based Vectors,1
feline kidney cell line CrFK,1
mouse lymphoid cell lines,2
semisusceptible strains,1
human corneas,1
MHV-S strains,2
bovine rotavirus-infected BSC-1 cells,1
bovine antirotavirus serum,1
human rotavirus antigen,2
free-ranging farm cats,1
feline leukemia virus antigen,2
Chlamydia psittaci antibodies,1
cowpox virus (2,1
feline reovirus,1
Toxascaris leonina eggs,1
bPIV3,4
V. M.,2
E. V.,2
Congenic WF.iddm4 Rats,1
WF rats,1
BBDR rats,2
BBDR rat,1
congenic WF.iddm4 rats,1
BBDR,1
WF,1
rabbit anti-idiotype antibodies,1
anti-human cytomegalovirus antibody,1
C57BL/6 [B6]),1
B6 TMEV-infected mice,3
rhinovirus strains,1
MHV ORF1b,1
monkey kidney tissue culture,1
human embryonic ciliated epithelium,2
chick embryo tracheal organ culture,1
monkey kidney tissue cultures,1
brome mosaic virus,6
brome mosaic virus (BMV) genome,1
barley plants,1
chinchillas,5
hepatitis A antigen,2
bovine herpesvirus-1 antibodies,1
rabbit intestine,1
Shigella dysenteriae Type 1,1
rabbit ileal,3
Pseudotyping,1
Pseudotyped lentiviral,1
pseudotyping lentiviral,2
calfhood,4
human hybridoma,2
reassortant virus vaccines,1
serologically-related,1
Lelystad virus Sera,1
convalescent sows,1
experimentally-infected,1
yeast Cryptococcus neoformans,1
CCR2-deficient mice,1
Coronavirus Particles,1
Igh mice,2
CD8-deficient,1
HRVL,1
Human coronaviruses 229E,2
chicken embryo trachea,1
chicken embryo trachea organ cultures,1
Mus domesticus,2
reo 3,2
TGEV minigenomes,1
coccidial,1
Coronavirus particles,4
AD169,2
HCMV-specific plaques,1
mouse hepatitis coronavirus A59,1
Mebus strain,2
Hantaan virus M genome,1
vaccinia virus glycoproteins,1
human fibroblast receptor,1
Saskatchewanâs feral,1
hunter-killed,1
H3N2 swine,1
teno virus in 1/8 boars,1
A. pleuropneumoniae serotype 14,1
Sherman,1
Fischer (F344) substrains,1
common-cold,1
Avian Astrovirus Astroviruses,1
poults,4
murine coronavirus mouse hepatitis virus (MHV)-A59,2
MHVR1,6
murine CEA-related clone,1
Mus musculus carcinoembryonic antigen,1
MHV-susceptible mouse fibroblasts,1
murine MAb 6A.C3,1
porcine myeloma,1
SDA virus,6
stem-anchor,1
HBsAg polypeptides,1
vaccinia virus recombinants,2
JHMV-specific T-cell lines,1
mice 4,1
murine skin,1
in-use AHU,1
human peripheral T-cells,2
OBLV60,8
mouse neuronal cell line,1
Nude mice,4
T. S. McGraw,1
"M. J. Buchmeier,",2
MAbs 1H.C2,1
Rubella Virus Genome,1
SL2 stem,2
Sindbis viral,1
Sindbis virus DI,1
M. Wenz,1
TGEV hyperimmune antiserum,1
TGEV hyperimmune serum,1
Human Respiratory Coronaviruses Human coronaviruses,1
Mouse hepatitis virus S RNA,1
pig aminopeptidase-N,1
human aminopeptidase-N,1
coronavirus mouse hepatitis virus A59,5
HIV glycoprotein,1
HCV 5â²-UTR,1
encephalomyocarditis virus RNA,1
Closterovirus,2
beet yellows closterovirus,2
poliovirus cDNA,1
bovine peripheral blood leukocytes,1
bovine herpes virus 1,2
vaccinia virus-immunized cattle,1
T. thermophilus,2
potato spindle tuber viroid,1
murine hepatitis virus-induced prothrombinase,1
Murine macrophages,2
rnu/rnu,2
cell-culture-propagated PRRSV,1
porcine rotavirus gene 9,1
human rotaviruses ST3,1
equine rotavirus H1,1
porcine enteric viruses,3
LC-FeLV,2
myc-containing strains,1
LC-FeLV proviral DNA,1
Borna disease virus glycoprotein,1
Escherichia coli K99-specific,1
Escherichia coli K99 antigen agglutinated K99,1
B41 (,1
K99-specific,2
mouse ascitic fluid,2
K99-specific MCA,2
Bartonella vinsonii,2
Bartonella bacteremic coyotes,2
human eosinophilia-myalgia,1
human L-TRP-EMS,2
female Lewis rat,1
human alpha interferon (,1
murine IFN-Î±2,1
Alfamovirus,1
brome mosaic virus (BMV;,1
parainfluenza type 1 virus,2
influenza A/Hong Kong/68-ts-1 [E],1
parainfluenza type 1,3
Kong/68-ts-1 [E] virus,1
Kong/68-ts-1 [E] vaccinees,1
A/Texas/1/77 strain,1
MA104 S100 cytoplasmic,1
SHFV 3â²(â)209,4
SHFV negative-strand,1
LDV-C,14
LDV-C 3â²(â)NCR,2
SIN,12
SIN recombinants,1
adenovirus-,1
horse myoglobin,1
antigen-specific T-cell lines,1
TMEV epitope-specific T-cell line,1
human respiratory syncytial (RS) virus,3
nonstructural protein,1
BCV haemagglutinin-esterase,1
hAd5,2
BCV HE,6
human adenovirus early antigens,1
EA-Ab,4
Escherichia coli Heat-Stable Enterotoxin,1
Escherichia coli CS31A fimbriae,1
E. coli human heat-stable enterotoxin,1
E. coli cell-bound toxin,1
H. somnus vaccine,1
UBRD,11
"C. jejuni serotypes 1, 4",1
equine rotavirus serotype.,1
MMU18006,1
"human rotavirus strains (P,",1
human rotavirus serotype,4
Y. Hoshino et,1
equine rotavirus serotype,1
DS-1,2
LEW strain,1
bovine renal brush-border membranes,1
bovine renal brush-border membrane vesicles,1
murine coronavirus nucleocapsid,1
G-specific antisera,1
G230,4
229E virus,3
Human Coronaviruses A single radial,1
human cystatin C,2
229e,1
herd bulls,1
astrovirus serotypes,2
astrovirus type 1,2
astrovirus types 1-4,1
swine haemagglutinating encephalomyelitis virus,1
HEV 67N,2
BCV Kakegawa strain,1
E. ewingii,2
canine monocytic,1
Random-source,1
rotavirus serogroups,1
pig intestines,1
human kinetochore,1
Semliki,1
banzi,2
encephalomyocarditis viruses,1
elk coronavirus,5
anti-spike,2
E. C. W. Bos,2
H. Van der,1
H. K. Koerten,1
W. J. M. Spaan,4
S. Infectivity,1
Murine Hepatitis Virus Gene 1,1
MHV-A59 gene 1,1
murine 17CL-1 cells,1
reovirus sigma 3,1
reovirus serotype 1,4
pET3c,1
oil,1
Drosophila muscle segment homeobox,1
chlorotic,3
chlorotic leaves,1
Coronavirus Particle,1
Enterohemorrhagic Escherichia coli O157:H7,1
cattle feces,2
isolates,2
S. A 1.2-kbp kanamycin,1
3-kb lacZ,1
Escherichia coli maltose-binding,1
Saccharomyces Cerevisiae,1
Sindbis Virus Isolates,1
SIN isolates,1
mink virus enteritis,3
feline panleukopenia,9
Raccoons,2
mink virus enteritis),1
Skunks,1
rotavirus strain SA11,1
rotavirus virions,2
Mouse Parvovirus Mouse parvovirus,1
SW mice,1
rabies virus CVS-F3,1
rabies virus-specific,1
CVS-F3,1
rabies VNA,1
VNA,4
Murine coronaviruses,3
G.-S. Jiang,4
mouse Bgp1,1
BALB/c kidney,1
SJL/J colon,1
CD1 spleen tissue,1
mouse rectal carcinoma CMT-93 cells,1
murine Bgp,1
inbred mice,4
murine DBT,1
V51B,6
Chinese hamster ovary (CHO,2
